paragraph_id,page_number,text,word_count,char_count
140,147,"Home Studio Recording: The Complete Guide For your artists, pay attention to the songs and should be reasonably in place before you spend the pieces of songs that stick with youthe one hour in the studio. aspects that are memorable. The songwriting If the songs arent ready, you need to do some term hook means just what it implies, though rewriting. you should never confuse hooks for meaning hits or pop. Be on the lookout for songs that Rewriting and Reordering catch your ears and wont let you go. Those are the ones to work on. If the song in question needs work and you arent a songwriter yourself, think of other writers you Getting Started might connect the artist with to refine and rework the song in question. Its best not to dive in if Start the evaluation of your artists songs online if you arent experienced in solving compositional possible, by asking them to send you work. If they problems. have a rehearsal room, ask them to record what If your gifts as a producer do include rewriting, theyre doing. Be sure to take away any worry its best to do the work together with the artist. that they have to impress you or anyone else The wonderful thing about making music in this with the quality of the recording or performance; day and age is that you can jump on a video just begin the process of directing them and call for free anywhere in the world and have a getting music out of them. Give them the time songwriting session. and space to make their own music before you come in to produce it. Songwriting is a very personal art. If you step in to rewrite with the original writer, you must have a Your job is to provide feedback on the feel, rapport with them and the freedom to be honest the groove, the tempo and the flow of the about the work. The artist has to trust that you composition. Youre working to get it right before are working in good faith to make their song you take them into your studio, before you better. Its no coincidence that earlier we focused record. As with any creative project, focus on on connecting with the artist and building trust. the core of the song first, the good and positive These foundations are essential if youre going to things about it, and work your way towards the get involved in rewriting. You need to understand details and fine tuning. Within preproduction, the artists influences and preferences to help getting the core ironed out is the main focus. move the songwriting in a direction that also You can get a lot done remotely, though that connects with their image and aspirations. ideal workflow isnt always the way things go. A Before you start cowriting with an artist, allow song might have a lot of potential, but try as you us to share a bit of advice: always record the might, you may not be able to fix things from a songwriting sessions. There are two excellent distance. reasons for this. First, sometimes an idea Lets say youre working on a five-song EP. Three appears, but in the rush or excitement of the of the songs are fineyou were able to massage moment you lose it. If youre recording the them into shape with the band without a lot of session, you wont. troublebut two of them just arent ready. They Second, if youre cowriting, you have the right to need some heavy work. a cowriting credit and all the potential revenues You dont want to sort out a rough song in the that may come from it. If you and your artist studio during a recording session. The studio is happen to have a massive hit on your hands and where you want to finesse an already good thing. the artist challenges your participation, without The songs need to be finished, and the band proof of your contributions you will almost needs to be rehearsed. Those two conditions always lose that revenue. 135",686,3766
141,148,"Warren Huart and Jerry Hammack Another aspect of rewriting is reordering the They are also an important tool to be able parts of the song. This is not to be confused with to share with other musicians, arrangers, arranging. (Please, dont use the word arranging programmers and so on. Demos can be as carelessly around professional musicianstheyll basic as a guitar or piano and voice, or they can think youre scoring horns or strings or such include cues for arrangements, counterpoint things as that.) Reordering sections of a song is melody, harmony and so on. Its important that done to create a more compelling experience. It the demo communicates not only the bones of also can tighten the composition by eliminating the songs chord and rhythmic structure but also things such as unneeded measures between its feel and emotional intent. verses, helping to drive the listener forward. In some cases, the demo serves as the scratch George Martin was great at this with the Beatles. track or even the backing track for a songs It was his idea to start Strawberry Fields Forever recording. If this is the case with your work, a with the chorus, and the same with Paperback word of caution here: dont invest your effort in a Writer. These are examples of reordering a song demo. to make it as compelling as possible. What does that mean? You can view the demo From a personal perspective, with songwriting its in a couple ways. As noted previously, it can easy to do the extremesto write a super poppy provide an outline and a guide to the recording pop song or a super complicated progressive you want to make. Or you can view it as a track. Thats not to say it doesnt take timeit surrogatea trial run for the real recording. does. Its just that its not too difficult to achieve Elaborate demos and time spent on a version of a result when you have only one focus. Whats the song you have no intention of releasing can difficult is the space in between: a progressive distract you from the real recording you want to pop song in this example (or a poppy make. Why spend your artists inspiration and progressive song). The unique marriage of that of others in creating a demo when you can styles, sensibilities and genres is where the most apply that same effort to the release version of interesting (and one could argue influential) the song? music is created. Steely Dan, Queen, the Beatles, Elaborate demos can also lead to demo-itis, David Bowie, Peter Gabriel and other giants of where the artist has the demo version of the the industry all wrote in these spaces within their track so ingrained in their imagination that when careers. Songs can be beautiful and ambitious its time to work on the actual recording, they are at the same time. constantly chasing the feel and even the sound As a producer, we are called to take an idea of the demo, even if its substandard. and help the artist make the most of it, give it its Elaborate demos are a lateral move, not a ultimate representation. Consider helping your forward one. Your job as a producer is to move artists find the spaces in between. the song forward to completion. Creating Demos Key, Tempo, Metre and Once you have your song mapped out, the next Instrumentation step is to create a demo of it. Demos serve a number of purposes, including making your Some decisions around a song have to wait initial commitment to the song. They allow you until the writing is complete. These include to objectively assess the song and are a great determining the performance key, the final tool for identifying its strengths and weaknesses, tempo and the instrumentation for the recording. exposing the need for any further rewriting. The song itself will always provide the lead on these decisions, and the genre of the song 136",665,3784
142,149,"Home Studio Recording: The Complete Guide its essencewill help you understand the genre you are working in can help you make appropriate vocabulary with which to start your informed instrumentation choices. Lets say, for work. example, that youre working on a funky track in the Stevie Wonder school. If youre familiar Working in a songs primary genre is not meant with his song Superstition, youll know that the as a restrictive provision. Understanding, for track was recorded with only four elementsa example, the vocabulary of a funk track versus clavichord, a synth bass, a drum set and a a soul track versus a hip-hop track will point you trumpet sectionalong with the single lead in different directions in relation to tempo and vocal. If you want to re-create the feel of that instrumentation. The vocabulary will suggest track, this knowledge gives you a head start. If references that can act as a starting place. you want something in the Queen schoolsay The ability to relate the songs you are working of Killer Queen vintageyoull want to know on to other successful models points to why its that they used guitars creatively by recording so important to develop a broad vocabulary multiple tracks, each with a wide a variation in of genres as a producer. It not only informs tone. The balance of the track included a bass, the song you are working on but also informs drums, a couple of pianos, a lead and multiple all of your preproduction choices. Once you backing vocals. understand the language of a genre, of course, Understanding how your song and artist relate your creativity allows you to make it your own to the long heritage of music-making will assist or to intentionally take the song in another you in deciding the core instrumentation for your direction. trackdecisions you dont want to wait to sort Working with the songs key can help identify the out when youre in the studio. Well figure it out sweet spot for a vocalist, whether than means later is rarely a good production strategy. allowing them to lie back into the performance Another reason youll want to determine or push to the limit of their range. Sometimes you your instrumentation approach in advance want a smooth vocal performance that sounds is in case you need to book talent for the effortless, and sometimes you want to highlight session. Depending on your location, session emotion or aggression. The key of a song puts musicians, arrangers and programmers could the vocal in the right place for those emotional be in demand or hard to find, and youll need to experiences. coordinate their activities, especially if you also Another consideration is the metre of the need to book an external studio for your sessions. song. Does it feel right in 4/4? Would it sound better as a 6/8 groove or a 3/4 waltz? Are Remote Preproduction there breakdowns that are best handled as 2/2 measures? Remote preproduction is a powerful tool in the producers arsenal. Sometimes your artists You might consider tempo changes if a song is recording session will be booked weeks in too fast for the vocalist to articulate the lyrics or advance. Between the excitement of committing if its dragging when it really needs to sizzle. The to a recording and actually making it, there accent, the feel and the groove have to relate might be a lot of downtime. Dont waste that to the track. Theres nothing harder to listen to time or let the excitement and energy wane. than a three-minute track that feels like its been You can accomplish so many things through going on for five minutes. Tempo can turn the remote preproduction, including tempo and key same song from a ballad into a waltz or from a changes, vocal coaching and instrumentation midtempo rocker into a punk explosion. choices. Understanding the intent for a song and the 137",654,3815
143,150,"Warren Huart and Jerry Hammack Many artists, especially new ones, dont view recording as work. Instead, they are making music or art or expressing themselves creatively. By putting them to workin some cases introducing them to the idea that recording is a job like many others and requiring attention to detail and quality, you activate the session, set the tone and communicate your leadership as a producer. Keeping an artist busy well before the actual Marc Martel, Chris Leipe and Warren discuss an recording begins with real, consequential work upcoming session in a remote preproduction that makes the recording better is a powerful meeting way to improve your results when the red light Put your artist to work on songs and their is on. Its a tool for getting their heads into the instrumentation, practising the parts and tracks game. they will be recording, and focus their attention and intent so that by the time they show up at Rehearsing the studio they are practised, ready and excited In your rehearsal process, no matter what else to see all that work come to life in the finished is happening around you, dont neglect one recording. critical thing: always be recording (affectionately The fact is its incredibly healthy to keep an artist referred to by the acronym ABR). busy by giving them work to do. In getting them You never know what youll catch, and to work on their songs in advance, youll deepen sometimes the reality is that rehearsal is only their connection to the tracks, and they will come rehearsal until that magic take, and then youre to the studio with more of a sense of ownership moving towards the finish line. This is not a new and commitment. concept. The Beatles recorded their rehearsal If you produce for long enough, youll develop a takes, at times filling many reels of audio tape in sensibility that allows you to quickly connect with the process. a songwhats good, whats bad, what needs to The common thread between the rehearsal be improved, what needs to be left alone. Artists phase and the recording phase is intent. themselves are a bit different in this regard. A lot Purpose. ABR isnt a fly-on-the-wall exercise. of them, especially bands, come in hot and cold Its done with purpose. Youre always rolling in in relation to their songs. They may love the first record because youre working towards the point two of the three tracks they are working on, but where the song becomes real. You dont want the third one isnt really doing it for them. You to miss that moment, and with digital recording, can avoid this predicament by having them work storage is cheap, so whats stopping you? on the song before they come to record it. If you are working with a solo artist, theres All songs pass through phases with an artist, typically not a lot of rehearsal involved. At from inspiration to proficiency to muscle Spitfire, a favoured process is to build a song as memory to extension and improvisation. Working we go, evolving the vision we have for the song in out a song you know the artist isnt too inspired a purposeful but organic way. The plan is set and by can often provide the opportunity for the artist youre putting it into motion, perfecting it as you to connect with the song in ways that might not go. have been obvious to them and may help them overcome their indifference. 138",585,3340
144,151,"Home Studio Recording: The Complete Guide Individual members can be given rehearsal Warren Huart: Californication assignments as a part of thishomeworkthat move the process along as well, such as having the bass player figure out a variation for the second chorus or the keyboard player develop some pads for the last verse. Sometimes rehearsal is a combination of all these approaches: demoing ideas at home or in rehearsal rooms, flat-out rehearsals with everyone involved, and building out ideas in the studio. The luxury version of this last option is that all this work happens in the studio. Of course, When I did preproduction with the Chili that requires a huge budget. Peppers on Californication with Rick Rubin, A word of advice here: respect the band while the band came in five days a week for developing the song. Everyone in the band, nearly six months, six to eight hours a day. from the lead singer to the guitar player to Rick would come down for a couple hours, the drummer, should ideally be included in give them some homework, talk about preproduction decisions so they feel and know some ideas, go away, come back in one to that their input is valuable and that their voice three days, listen to how the ideas played is heard. Using this approach, you not only out and discuss the songs some more, over facilitate the creativity of the band as a whole and over. When they came in to make the but also inspire their best work. One of the album, their big comeback record with greatest compliments you can ever get is from guitarist John Fruscanti, they were ready. a musician who thanks you for taking the time to They had done six months of preproduction help them do their best. and worked their asses off, and Rick was Understand that what we do is in fact work. involved in every facet of it. In his own way. Its not some alchemy that takes a nothing- Rick is famous for not showing up to the burger and turns it into a global hit. Theres a studio, but the point is the band had methodology that takes you from inception to rehearsed the songs the way they and finished song. In preproduction, its the labour of Rick wanted them to sound on the record. song selection, sometimes reordering, rewriting, He didnt need to show up every day for arrangement, key, tempo, instrumentation and recording to get the sound and feel they rehearsal. wantedit was already there. You hire a great engineer like Jim Scott, who captures Using Reference Tracks the hard work theyve put in, and there you with ArtistsCredibility and go. Its as simple as that. Commerciality, Aspiration and Inspiration If the artist is a band and youre starting your work remotely, provide some initial direction and Reference tracks can be a powerful tool for have them work on it, demo it and send it back. dialogue with an artist, a common ground where If they are local, then perhaps rent a rehearsal you connect their work with your vision for its room and work on the tracks together in that potential, light a fire in them and give them space, all the time developing a strategy to an example of what they can be at their best. record each song. Reference tracks can open a dialogue with the 139",568,3192
145,152,"Warren Huart and Jerry Hammack artist in which they will share the music they love and sell records know. Mind you, in the grand and expose how it represents their goals and scheme of things, while Dylan has sold well desires for their music. (around 100 million units in his lifes work), hes not even in the top fifty in relation to lifetime Reference tracks are used for a number of sales. Still, everyone knows Dylanhes got cred purposes. In preproduction, they can lend and he wrote some accessible hits. When youre credibility to taking trying to inspire your artists, think of artists that a certain approach have the Dylan factor. to a song, demonstrating Dylan is also a great example of how theres commercially more to the artist than just the song. The artist successful models and their ability to connect can be tied to any related to your number of cultural touchstones, such as social artists work. They movements or fashion or politics. The most can also be used revered artists of all time became that way as something to not only because they sang that one song we aspire to, as a Peter Gabriels So album remember but also because they connected is one of our favourite goal to reach for in culturally. references because of the performance and quality of the recordings Credibility exists at the peaks and edges of to inspire creativity. genre. It is either music so authentic in its To be able to talk to your artists in context, you expression that it cannot be ignored or music need to feed your brain with all kinds of music. that pushes or breaks the rules commonly This is easy if you work within a specific genre, associated with the primary genre it represents. but the wider you cast your net for artists or the Either of these approaches separates the wheat richer the vocabulary you want your productions from the chaff of artists who compete for the to express, the more youll need to know about ears of listeners and consumers. It stands out different musical styles and genres. This means from the easy background of competency and keeping your mind and especially your ears sameness. open. In popular music genres, you can think of music While its hard not to bring your own biases on a continuum, from what for lack of a better to these references, keep your artists own term could be super-cred music on one end of influences in mind. Ask yourself, who did the artist the spectrum and sell-out pop on the other. All grow up loving? Likely that band or singer was artists fall somewhere along this spectrum. As the reason they wanted to make music in the with any continuum, theres a middle ground. first place. Educate yourself on the music they In this musical example, that middle ground (or love, and youll have an easier time connecting sweet spot or whatever you want to call it) is the them to the music you know will help move them place where the song is credible enough to be forward to better songs and better recordings. authentic and pop enough to be listenable and attract listeners. References need to be obviousan obviously credible artist and obvious as to the point you We want to make music people will listen to. are trying to make through them. Aspiration and Inspiration Credibility and Commerciality You can use references to give your artist a goal Bob Dylan is a great example of a reference to aim for. As a producer, you want the people whom most people that want to both be credible you work with to be inspired. References can also 140",622,3498
146,153,"Home Studio Recording: The Complete Guide be used to flatter your artist. If some aspect of though the relationship must be mutually their music reminds you of another successful beneficial. In exchange for their assistance, artist that you love, share that fact and that you must be willing and able help them in their music. Youll build confidence that they are on careers and in their knowledge. the right track. Assistants arent hired solely because they have Inspire your artists with the excellence of music audio engineering or producing skills. After all, an that relates to the work you are doing together. audio business involves more than audio itself. Examples are everywhere. The lengths to which Often the work that can fall behind in a studio artists such as King Crimson and Yes went to concerns the business side of things: following create their progressive rock, the immediacy of up with clients and vendors, creating social the Damneds punk rock or the professionalism media posts, responding to and interacting of the studio musicians backing recording artists with followers, booking interviews, managing ad of the 60s (nicknamed the Wrecking Crew) are campaigns and writing press releases. Clients just a few. and projects need to be scheduled into the work calendar; bills need to be paid; checks need to Conversely, if you need to take the music in a get to the bank. Assistants can be sure these different direction, you need to find examples essential tasks are taken care of. your artists can relate to that also reinforce your point. For example, suppose your artists music is Having interns is very useful, even in a small really pop and you believe it will be better served studio environment. A good strategy for if its more credible in a rock-n-roll sense. In obtaining interns is to contact local community that case, you could pull out something like Led colleges or recording schools and offer your Zeppelin to demonstrate how a band can rock services as a mentor who can take on interns, in and be melodic. Perhaps youre working with the context of their class commitments. Student an indie band thats super eclectic but doesnt interns are compensated by earning academic understand how to create a hook. In that case, credits from their institutions. you could show them the poppy side of the Cure, Internships might also come with structural and Joy Division or Bauhaus. reporting requirements back to the institution Using references in these two ways, you can where the intern is earning their credits. This inspire your artist to both do better work and could impact how you put one to work, as well shoot for something bigger and greater in their as increase your own workload. Be sure to recordings. understand your obligations before moving forward with bringing an intern onto your team. Hiring Help: Assistants and Interns As your studio grows, assistants and interns become more and more necessary to keep up with the workload. Assistants can help in areas such as communications, marketing, publicity and scheduling, while interns can assist in session setup, preparing the studio, recording or mixing session for you to step into with as little fuss as possible. When you run a studio, interns and assistants Wrapping cables the right way is just one essential can have a positive impact on your business, chore for a studio intern. 141",565,3386
147,154,"Warren Huart and Jerry Hammack as well take on two. Theres a practical reason for One of the reasons you this: studio hours are irregular. With two interns,  work hours can overlap for those sessions that get put through menial inevitably run late. situations is if you cant remember not to put mayonnaise Its critical to have a clear reason as to why you are hiring, be it an assistant or an intern. You on my sandwich, Im not should never bring on someone you cant picture putting you in front of a $35,000 coming to work for you full time. Theres nothing microphone. It builds character as motivating to an assistant or an intern as and it builds discipline. knowing that if they are taking full advantage of  Phil Allen (Grammy Awardwinning the opportunity, it could result in a job. engineer for Adele, Daniel Powter, Once you choose to bring on an assistant or Aerosmith, P!nk and Miley Cyrus) an intern, there are many impactful ways to put them to work. Youll want to set a balance Some individuals think of interns as free labour expose them to the range of activities in the Dont make this mistake. Understand your local studio while also giving them some practical labour laws and always operate well within them. work to get done, be it backups or cleaning the Using interns as a way to circumvent labour laws, studio or running errands. Manual, menial and taxes or other unpleasantries will end up causing maintenance activities are certainly part of you a lot of trouble. the mix, though so is recalling the console and Employing interns requires a commitment outboard and setting up mics and cables. on your behalf to mentoring and providing During a session, these assistants can manage opportunities for skills development. Additionally, the DAW operations, freeing you to focus on you need to take interest in your interns goals production. They can also develop their skills and meet them halfway (at least). A good to take on editing, preparing the mix or even mentor will be on the lookout for opportunities taking a mix to a certain finish point. Studio to help their mentee grow in skills, maturity and maintenance and data backups are also knowledge towards their own professional goals. common areas where you can effectively put How do you know an internship is going well? assistants to work. Communicate. Schedule regular check-ins with One caveat is that you shouldnt give mission- them and make yourself available to talk about critical tasks to interns. Leading the engineering how things are going. Some students just want of a recording session and delivering a final mix to get their hours in and nothing more. This is a are aspects of the work that those just starting valid need on their end, though it may not match out are not ready to be responsible for, and your own needs. When you are interviewing, its if something goes wrong your client will not good to sort out the motivations of any potential be pleased to know you gave something so intern. Be sure that you connect with them with important to an intern. regard to work ethic, disposition and so on. Never forget that how you behave matters in Also be smart and safe when it comes to any interaction with an assistant, an intern or meeting and interviewing prospective interns, a mentee. Based on how you treat others, you especially young people. Always schedule your will teach them how to treat you. If youre late evaluation meetings away from your studio, in a for your meetings, youve taught your assistant, public place and during the daytime. intern or mentee that you dont care about being If youre going to work with one intern, you might on time. Dont be surprised if they are not on time 142",645,3700
148,155,"Home Studio Recording: The Complete Guide for you. If you dont care whether you deliver youll use, and how many headphone mixes to work late, youre telling them it doesnt matter if expect. they deliver late. If youre disrespectful, youll be disrespected. Its the Golden Rule: do unto other Session Template Selection and as you would have others do unto you. Signal Routing A session template for your DAW with in/out (I/O) Engineering in and other signal routing in place ensures your Preproduction artists inspiration isnt slowed unnecessarily. Templates cover the I/Os of your recording process. In their fullest form, they include inserts, parallel processing, subgroups, effects and other post-recording setups already in place, ready to be activated. (These additional tracks can be deactivated (or disabled) until they are required, saving processing power.) DAW Templates require an investment in time and in thinking through and understanding your own recording process. The investment pays off time and time again as you bring new sessions to life with ease and confidence. Templates Setting up a recording session are not static. As you understand more of the requirements of your process and the needs of Session Organisation and your clients, you can revise your templates to Preparation account for your improved processes. When its time to track, the producer has an Templates offer a huge advantage when it understandably more task-driven role in comes to working quickly and intelligently. How preproduction, focused around preparing you design your template is determined by for the recording session. Getting ready for a the genres in which you find yourself working. session requires the producer to understand It isnt a bad idea to have multiple templates, both the content and the intent of the work to be one for each genre. Many producers have go- accomplished. to templates for different situations (basic rock bands, hip-hop, jazz combos, orchestral For example, you need to know whether youre recording and so on). working with a band or a solo artist. If its a band, how many members are there? What A hip-hop producers template would lean instruments do they play? What type of music heavily towards vocals, with bus routing and are they recording? Are they bringing their own signal processing ready to go. Tracks might be gear? Do they record together or separately? defined as Vocal Leads, Vocal Doubles, Ad What kinds of songs are they working on? What Libs and so on that are all routed to a vocal bus, sounds are you going for with them? What work with go-to plugins waiting for mix time. With this do you expect to accomplish in the session? approach, as quickly as an artist can record, you can open up your signal processors and begin Answers to these and other questions tell you all mixing. sorts of things, such as how much studio space needs to be available, what mics to get set up, If you work with rock bands, having neatly what recording template and outboard gear labelled tracks for drums, bass, guitars, 143",506,3056
149,156,"Warren Huart and Jerry Hammack keyboards and vocals, in addition to the Is my DAW online? Check. External hardware necessary bussing, will speed things up getting its signal to the DAW? Check. Chairs for immensely. four musicians? Check. Recording sessions are rarely one size fits all, but Your preproduction checklist should include the if you have a template with the basics, you can tasks noted previously as well as any that are handle any artist that comes your way, as well as associated with your personal workflow, even be prepared to pull up a reference mix on the fly. down to having a pot of coffee brewing or a kettle on the boil for a cuppa (a cup of tea, of course). Studio Setup and Testing Based on your preproduction knowledge, you will Advance Work need to set up the physical recording session. These setup requirements are driven partially Depending on the artists you target and choose by the studio configuration and naturally by the to work with, with the home studio you have goals for the work to be accomplished during the the luxury of having a lot of your preproduction session. requirements taken care of well in advance. At Spitfire, the studio is already set up and always Setup means activating the DAW template ready to record the multiplicity of instrument youve created and ensuring that the signal types we commonly encounter. The idea is that routing is correct so when it comes time to an artist can come into the studio and within record, all the gear you intend to employ is minutes be tracking on their song. connected without fault. Mics are in place, routed to the mixing console or Before the artists show up, it means confirming select preamps, which are in turn routed to via your hardware (like an external compressor) is an I/O to the DAW. Because we know our clients working, having mic cables run and DI boxes set. and their requirements, from session to session, Depending on your studio configuration and your theres little need to vary the setup of inputs, save artists preferences, setup might mean having for the selection of inserts that might be a part of the performers all in one room or segregated a hardware chain. into separate rooms. At some point, you will be working with individual band members one on Once the studio is configured, leaving everything one. Everyone will need space to work, perhaps set up is the smart thing to do. Then the a chair to sit on or rest on. They will need a only things youll need to do trend towards space to manoeuvre and play in, a place to set the creative, such as selecting a different down their instrument without damaging it, and microphone or preamp. Other tasks are as everyone will need headphones. straightforward as bringing up recalls on the console. Using Checklists One of producer Brian Enos famous Oblique Strategies for creative music-making is slow Until you are well experienced, checklists can preparation, fast execution. You can think of be your best friend in the studio. They come in getting your studio ready to track as part of that many forms and are a great way to ensure that slow, deliberate preparation. nothing is missed in the preproduction process. For the home studio operation, checklists help Many home studio owners dont think much you verify that core tasks are completed before about this. They think if they arent making the artist shows up. Primarily, they free you from money every minute that they are exerting effort having to remember whether everything is ready on music, then why bother? Hopefully you are to go. Is my recording template active? Check. making music for more complex reasons than 144",630,3647
150,157,"Home Studio Recording: The Complete Guide just making money. If you take a minimum hours the focus of a live concert is the showit is not a worked for maximum profit earned approach, recording session. you may make some great money, but its unlikely youll ever make great music. Preproduction for Location and Live Concert Recording So far, we have looked at the producers roles in preproduction from the standpoint of working in your home studio or at another studio facility, but there are other opportunities for recording that have unique preproduction needssuch as location and live concert recording. Location recording entails packing up a rig and setting it up where the artist wants to record. This can be at their house, a rehearsal facility or a venue. To take on this work, youll need to have a mobile-ready rig (or the budget to rent one). The challenge for this scenario is being sure you Stage plot from a live recording of Barenaked are prepared with everything you need to record Ladies with Choir! Choir! Choir! just as you would at your home studio, minus the room. This includes a computer, DAW, mics, For preproduction purposes, ask the bands stands, outboard and the like, as well as power management or live sound engineer (if supplies and conditioning, breakout boxes, they have one) if they can provide you with headphones, headphone amps and more. a stage plot and an input list. This list will commonly include all the inputs planned for the If you are unable to equip a remote session performance (mics, DI and so on). A complete completely, be sure your artist understands and stage plot will include information on things such accepts the limitations that will be imposed. as amplifiers, microphone and DI assignments, Perhaps you cant provide a headphone mix or which instruments are planned, how many monitor speakers for playback. Perhaps your drums are in the stage kit and where people are mobile rig doesnt have as many inputs as positioned on stage. your studio rigif the band has some vision of tracking live, this could be a major issue. Dont If possible, scout the location and find out wait until the session to share this information answers to things that could be issues for your with your artist. It could very well be that some recording, such as how the venue runs sound. limitation causes them to rethink recording on Asking the right questions of the right person well location entirely. ahead of the event will help you understand how your recording work will integrate with their show. Preproduction for live concert recording shares some of the same aspects as location recording, Does the artist bring their own sound system? with the added complexity of coordinating your What type of console do they use? Can they efforts with those of the front-of-house and give you a split or feed from it to your DAW? If backline audio engineers. One key thing to keep so, whats the connection protocol? Do they in mind when taking on this type of project is that 145",517,3009
151,158,"Warren Huart and Jerry Hammack use direct out from the front of house (FOH) the signals requires double-miking, and this mix or foldback console? With digital consoles technique is still in use in many smaller venues. predominant in modern and major live venues You should never go into a live performance and concerts, typically every signal from a recording setting and expect that you will be console can be sent to an external DAW. able to simply plug in and go. When getting together your packing list for the gig, be prepared for as many eventualities as you can anticipate. Take a range of cables and adapters, especially for your recording interface and even if you are taking a feed from the FOH console. Extension power cords are a must as well. You just never know how far away from a power source youre going to be. Once at the venue, set up your own audience mics to capture the room and overall ambience. A direct feed from the stage mics rarely has this kind of spill, and a live recording always needs to include the energy of a cheering audience before or after a song. Consider bringing a backup system for recording. The worst thing that can happen is the DAW dropping outand the worst thing happens from time to time. Ideally, the backup system is associated with a separate signal chain. For instance, your main recording system is connected to the FOH console, while your backup system is connected to the foldback or monitoring system. In this scenario, should there be any problem with the connection to the primary console, you could pull in the foldback signal, which is identical. Live performance recording can use stage-box splitter snakes, where the signals from the stage are sent both to the FOH console and to a series of mobile preamps linked to digital systems, including foldback monitoring and workstation software. Having a breakout and your own preamps allows you much more control over the recorded signal because you are bypassing the EQ and other settings associated with the FOH sound that are applied to generate a good live sound. Those requirements may be in conflict with a good sound for the recording. This level of sophistication is by no means standard, however. Sometimes capturing 146",385,2237
152,160,"Warren Huart and Jerry Hammack In this chapter, well cover the entire recording Recording process in detail. After beginning with the responsibilities of the producer and engineer, well move into an explanation of the basic recording workflow, then go deep into an overview of DAW operations and microphone basics. 148",50,318
153,161,"Home Studio Recording: The Complete Guide thought they could do it better, they wouldnt The Producers Role in need you. Recording When it comes to recording, the producer is the captain of the ship. Think about that metaphor for a moment: the journey your passenger (the artist) takes is in your hands. You are responsible for providing them with a sound vessel, an able crew and safe passage. The sound vessel is your studio, equipped and well-maintained for the journey ahead. The able crew includes you and any assistants, interns or other professionals you A producer at work in a session hire to help bring the music to life. The passage is the journey from inception to finished project, As a producer, the artists are in your care. Take and seeing the artist safely through it involves your responsibility seriously, and youll have the paying close attention to every aspect from opportunity to be a part of some great music, preproduction to release. relationships and experiences. At any one time, your role as producer may have you serving as the technical expert, the I like to think that I do moderator, the cheerleader or any number of  most things in my life with roles covering a broad range of issues from the intention. I definitely like to be practical to the psychological and philosophical. intentional about recording. I Even in this, you are only there in service to your just want to record the sound artist. No matter how essential your part is in as I want to hear it in the final the making of the music, in the end it is still the product. I also find when you artists music. define a sound and it becomes Handled correctly, artists and musicians will a fabric of the song and the leave your sessions thinking they are better at production as you are building it, what they do because they worked with you. Its a wonderful thing. it informs the other things you are doing and helps you make better Session Organisation decisions along the way. - Jacquire King (producer and In preproduction, the producer works with the engineer for Kings of Leon, Tom Waits, artist to figure out which songs are the strongest James Bay, Kaleo, Modest Mouse, Shania for the session and then works to refine them Twain, You Me at Six and through ordering, rewriting, instrumentation Buddy Guy) choices, arrangement and rehearsal. With the song or songs selected, the producers first responsibility in a recording session is to The captain metaphor may be a bit corny, but organise the work. Think of this as creating the its accurate. Every recording is a journey from session roadmap. What needs to get done inspiration to release. An artist puts themself in overall? What are you getting done today? Which your hands and trusts that you will have their song are you starting with? Who is needed in best interests at heart in bringing their inspiration the studio and when are they needed? These to life. If they knew how to produce themself or 149",516,2958
